sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda
F,False,True,0,Assalariado,Superior completo,Solteiro,Casa,54,7.958904109589041,1.0,1670.06
M,True,True,3,Assalariado,Superior completo,Casado,Casa,38,2.2575342465753425,5.0,1800.49
F,True,True,0,Assalariado,Superior completo,Solteiro,Casa,56,10.868493150684932,1.0,3829.1
M,False,True,0,Assalariado,Superior completo,Solteiro,Casa,45,0.926027397260274,1.0,4639.93
F,True,True,0,Empresário,Superior completo,Casado,Casa,34,1.2493150684931509,2.0,3032.33
F,False,True,0,Assalariado,Superior completo,Solteiro,Casa,41,0.2958904109589041,1.0,1749.39
F,False,False,2,Assalariado,Secundário,Casado,Governamental,38,0.6794520547945205,4.0,1899.82
M,True,False,0,Assalariado,Superior completo,Casado,Casa,28,8.208219178082192,2.0,8594.0
F,True,True,0,Assalariado,Secundário,Casado,Casa,44,25.728767123287675,2.0,5163.3
F,True,False,0,Assalariado,Secundário,Casado,Casa,56,2.915068493150685,2.0,5637.83
M,True,False,2,Assalariado,Secundário,Casado,Com os pais,30,6.164383561643835,4.0,3031.53
F,False,False,2,Servidor público,Secundário,Casado,Casa,32,11.01917808219178,4.0,3380.22
F,False,False,0,Assalariado,Superior completo,Casado,Governamental,48,23.36164383561644,2.0,25857.6
M,True,True,0,Assalariado,Superior incompleto,Casado,Casa,46,12.6,2.0,3310.37
F,False,True,0,Pensionista,Secundário,Solteiro,Casa,61,,1.0,2662.84
F,False,True,0,Empresário,Secundário,Viúvo,Casa,59,3.3945205479452056,1.0,2767.12
F,False,True,0,Assalariado,Superior completo,Solteiro,Casa,51,4.216438356164384,1.0,3072.78
M,True,False,0,Assalariado,Superior incompleto,Casado,Casa,30,9.6,2.0,28905.33
F,False,True,0,Empresário,Superior completo,Solteiro,Casa,32,5.597260273972603,1.0,5324.1
M,False,True,0,Assalariado,Secundário,Separado,Casa,49,11.194520547945206,1.0,19626.79
M,False,True,0,Assalariado,Superior completo,Casado,Casa,46,8.06027397260274,2.0,24001.72
F,True,True,0,Empresário,Superior completo,Solteiro,Casa,33,3.9178082191780814,1.0,1089.1
F,True,True,0,Servidor público,Secundário,Casado,Casa,41,14.350684931506851,2.0,2587.51
F,False,True,0,Assalariado,Secundário,Casado,Casa,54,7.0109589041095886,2.0,1244.32
M,False,True,1,Assalariado,Superior incompleto,Casado,Casa,37,15.449315068493153,3.0,8929.75
F,False,True,0,Empresário,Superior completo,Solteiro,Comunitário,33,6.076712328767122,1.0,3738.19
F,False,True,0,Assalariado,Secundário,União,Casa,36,10.517808219178082,2.0,1954.87
F,False,False,0,Assalariado,Secundário,União,Casa,41,13.194520547945206,2.0,4230.23
M,True,True,3,Empresário,Secundário,Casado,Casa,33,3.06027397260274,5.0,6658.33
F,False,False,0,Assalariado,Superior completo,Solteiro,Casa,25,2.126027397260274,1.0,505.72
F,False,True,1,Assalariado,Secundário,Casado,Casa,47,3.032876712328767,3.0,1303.35
F,True,False,0,Servidor público,Superior incompleto,Solteiro,Casa,32,14.263013698630138,1.0,4486.91
F,False,True,0,Pensionista,Secundário,Casado,Casa,57,,2.0,3879.64
F,False,True,0,Servidor público,Secundário,Casado,Casa,53,14.03835616438356,2.0,1731.06
F,False,True,0,Pensionista,Secundário,Viúvo,Casa,66,,1.0,2018.24
F,True,True,3,Assalariado,Superior completo,Casado,Casa,39,2.4219178082191783,5.0,1822.3
F,False,True,0,Assalariado,Secundário,Casado,Com os pais,44,1.0986301369863014,2.0,1568.16
M,True,False,1,Servidor público,Superior completo,Casado,Governamental,43,5.216438356164384,3.0,5113.21
F,False,False,0,Assalariado,Superior completo,Solteiro,Casa,44,1.8410958904109591,1.0,3037.0
F,False,False,0,Pensionista,Superior completo,Casado,Casa,58,,2.0,961.34
M,False,True,2,Assalariado,Secundário,Solteiro,Casa,31,11.01095890410959,3.0,7245.21
F,False,True,0,Servidor público,Superior completo,Casado,Casa,48,6.583561643835616,2.0,3576.38
F,True,True,1,Assalariado,Superior incompleto,União,Casa,35,7.542465753424658,3.0,1980.53
F,True,False,1,Assalariado,Superior completo,Solteiro,Casa,27,4.432876712328767,2.0,1314.0
F,False,True,2,Assalariado,Secundário,Casado,Casa,37,4.635616438356164,4.0,1577.16
F,True,True,0,Pensionista,Superior completo,Casado,Casa,58,,2.0,2149.5
M,True,True,2,Assalariado,Secundário,Casado,Casa,41,8.846575342465753,4.0,6046.06
F,True,True,0,Assalariado,Secundário,Casado,Casa,46,19.9013698630137,2.0,13205.54
F,True,True,0,Assalariado,Secundário,Casado,Casa,53,10.663013698630136,2.0,7383.31
M,True,True,0,Assalariado,Secundário,Casado,Casa,32,8.764383561643836,2.0,11653.72
M,True,True,0,Pensionista,Secundário,Casado,Casa,38,,2.0,7008.59
F,False,True,0,Pensionista,Secundário,Viúvo,Casa,58,,1.0,1283.79
F,False,False,2,Assalariado,Secundário,Casado,Casa,36,7.4520547945205475,4.0,1683.8
M,False,True,0,Assalariado,Secundário,Casado,Casa,51,8.038356164383561,2.0,7864.55
F,False,True,0,Pensionista,Secundário,Viúvo,Casa,63,,1.0,1971.23
F,True,True,3,Empresário,Secundário,Casado,Casa,31,1.9753424657534249,5.0,4264.23
M,True,True,0,Assalariado,Superior completo,Casado,Casa,53,18.28767123287671,2.0,93994.63
M,True,True,0,Assalariado,Secundário,Casado,Casa,46,4.712328767123288,2.0,9392.83
F,False,True,0,Assalariado,Secundário,Casado,Casa,52,14.054794520547944,2.0,5064.02
F,False,True,0,Assalariado,Secundário,Solteiro,Casa,27,4.9671232876712335,1.0,7659.17
F,False,True,1,Servidor público,Secundário,Solteiro,Casa,34,3.6986301369863015,2.0,1056.42
F,True,True,1,Empresário,Superior incompleto,União,Casa,42,1.9342465753424656,3.0,5408.22
M,True,True,0,Assalariado,Secundário,Casado,Governamental,46,0.96986301369863,2.0,5173.02
M,True,True,0,Assalariado,Secundário,Casado,Com os pais,30,8.435616438356165,2.0,37921.89
M,False,True,2,Assalariado,Secundário,União,Casa,39,6.347945205479452,4.0,8000.5
F,False,True,0,Pensionista,Secundário,Solteiro,Casa,60,,1.0,693.95
F,False,False,0,Pensionista,Secundário,Casado,Casa,56,,2.0,1007.62
F,False,True,0,Assalariado,Secundário,Casado,Casa,61,40.57534246575342,2.0,10227.06
F,False,False,0,Empresário,Secundário,Casado,Casa,43,3.8301369863013695,2.0,8963.05
F,False,True,1,Assalariado,Superior completo,Casado,Casa,50,27.65479452054794,3.0,16627.7
M,True,True,0,Servidor público,Superior completo,Solteiro,Casa,27,2.263013698630137,1.0,1874.25
F,False,True,0,Pensionista,Superior completo,Casado,Casa,60,,2.0,950.07
M,False,True,0,Assalariado,Secundário,Solteiro,Casa,27,1.263013698630137,1.0,5249.1
M,False,False,1,Servidor público,Secundário,Casado,Casa,37,13.276712328767124,3.0,7305.3
M,True,True,1,Assalariado,Superior completo,Casado,Casa,37,4.575342465753423,3.0,16741.05
F,True,True,1,Empresário,Pós graduação,Casado,Casa,33,2.682191780821918,3.0,1358.06
F,False,True,2,Assalariado,Secundário,Casado,Casa,34,11.221917808219178,4.0,8182.88
M,True,True,0,Assalariado,Secundário,Casado,Casa,59,7.410958904109589,2.0,3767.11
M,False,True,0,Assalariado,Secundário,Solteiro,Casa,28,0.6191780821917808,1.0,2094.02
F,False,False,0,Pensionista,Superior completo,Casado,Casa,59,,2.0,3750.46
F,False,True,0,Empresário,Superior completo,Casado,Casa,53,7.884931506849315,2.0,3363.99
M,False,False,0,Assalariado,Superior completo,Casado,Casa,36,8.6,2.0,6582.25
M,True,False,0,Assalariado,Superior completo,Solteiro,Casa,32,10.145205479452056,1.0,4712.7
F,False,True,1,Assalariado,Superior completo,Casado,Casa,28,6.515068493150685,3.0,970.48
F,True,False,1,Pensionista,Secundário,União,Casa,54,,3.0,3395.02
F,False,True,0,Pensionista,Superior completo,Separado,Casa,57,,1.0,1910.91
M,False,True,0,Pensionista,Secundário,Casado,Casa,63,,2.0,19039.08
F,True,True,1,Empresário,Secundário,Casado,Casa,42,5.758904109589041,3.0,3284.02
M,False,True,0,Assalariado,Superior completo,Casado,Casa,32,8.936986301369863,2.0,3149.73
F,True,True,0,Empresário,Superior completo,União,Casa,32,0.8438356164383561,2.0,3011.85
F,True,True,1,Assalariado,Superior completo,Separado,Casa,38,0.3835616438356164,2.0,2141.28
F,False,True,0,Pensionista,Superior completo,Casado,Casa,54,,2.0,1811.3
F,False,True,0,Assalariado,Superior completo,União,Casa,27,8.693150684931506,2.0,13966.76
F,True,True,0,Empresário,Superior completo,Casado,Casa,55,14.868493150684932,2.0,6444.74
F,True,True,0,Assalariado,Superior completo,Casado,Casa,47,8.638356164383561,2.0,1479.27
F,True,True,2,Assalariado,Secundário,Casado,Casa,39,20.126027397260277,4.0,18862.26
M,True,True,1,Assalariado,Superior completo,Casado,Casa,30,8.715068493150685,3.0,7539.97
M,False,False,0,Empresário,Secundário,Casado,Casa,38,4.287671232876712,2.0,5449.72
F,False,True,0,Assalariado,Superior completo,Casado,Casa,38,1.0246575342465754,2.0,4178.58
F,False,False,1,Assalariado,Secundário,Casado,Casa,34,4.701369863013698,3.0,2820.27
F,False,True,0,Assalariado,Secundário,Casado,Casa,36,2.128767123287671,2.0,3034.48
F,False,False,0,Assalariado,Superior completo,União,Casa,26,3.032876712328767,2.0,1437.28
M,True,True,1,Assalariado,Superior completo,Casado,Casa,28,7.03013698630137,3.0,7931.62
F,False,False,2,Assalariado,Superior completo,Casado,Governamental,34,1.956164383561644,4.0,3110.64
F,False,True,0,Assalariado,Superior completo,Solteiro,Casa,62,36.753424657534254,1.0,11629.15
M,True,False,0,Servidor público,Secundário,Casado,Casa,33,8.961643835616439,2.0,8272.67
F,False,False,0,Pensionista,Secundário,Casado,Casa,60,,2.0,7003.03
F,True,True,0,Empresário,Secundário,Casado,Casa,36,6.964383561643835,2.0,5480.76
F,False,False,0,Pensionista,Secundário,Casado,Casa,58,,2.0,2267.78
F,True,True,0,Assalariado,Superior incompleto,Casado,Casa,39,19.446575342465756,2.0,3572.93
M,False,False,1,Servidor público,Superior incompleto,Casado,Com os pais,33,1.5753424657534247,3.0,5837.37
F,False,True,0,Pensionista,Superior completo,Casado,Governamental,58,,2.0,3577.69
M,True,True,0,Assalariado,Superior completo,Casado,Casa,52,12.147945205479452,2.0,3465.27
M,True,False,0,Pensionista,Secundário,Casado,Casa,62,,2.0,4790.55
M,True,True,2,Empresário,Superior completo,Casado,Casa,36,8.227397260273973,4.0,4141.48
M,True,True,1,Empresário,Secundário,Casado,Casa,42,7.136986301369863,3.0,4511.68
F,True,False,0,Pensionista,Secundário,Casado,Casa,60,,2.0,3328.03
F,False,True,0,Pensionista,Superior completo,Casado,Casa,65,,2.0,640.8
F,False,False,0,Servidor público,Secundário,Casado,Casa,50,10.043835616438356,2.0,8526.42
F,True,True,0,Pensionista,Secundário,Casado,Casa,54,,2.0,3314.31
F,True,False,0,Assalariado,Superior completo,União,Casa,39,6.665753424657535,2.0,2610.5
M,True,True,0,Assalariado,Secundário,Solteiro,Casa,43,9.791780821917808,1.0,3884.05
F,False,True,0,Assalariado,Superior completo,Casado,Casa,46,2.8767123287671232,2.0,1370.61
F,False,False,1,Assalariado,Superior completo,Separado,Casa,38,0.3671232876712329,2.0,818.54
F,False,True,0,Pensionista,Secundário,Casado,Casa,65,,2.0,2363.27
M,True,True,0,Assalariado,Secundário,Casado,Estúdio,40,22.34794520547945,2.0,16741.32
F,True,False,0,Empresário,Secundário,Casado,Casa,45,2.972602739726028,2.0,2542.55
F,True,True,0,Empresário,Secundário,Casado,Governamental,39,9.167123287671233,2.0,1989.18
F,False,True,1,Servidor público,Superior completo,Casado,Casa,36,13.136986301369864,3.0,3134.79
F,False,True,0,Empresário,Secundário,Casado,Casa,47,26.189041095890413,2.0,7799.73
M,False,True,0,Pensionista,Secundário,Casado,Casa,62,,2.0,5153.15
F,True,True,1,Servidor público,Secundário,Casado,Casa,37,4.046575342465753,3.0,10141.78
F,True,True,0,Pensionista,Secundário,Casado,Casa,64,,2.0,636.2
M,True,True,2,Assalariado,Superior completo,Casado,Casa,40,10.789041095890411,4.0,33730.18
F,True,False,0,Assalariado,Superior completo,Casado,Governamental,49,5.493150684931507,2.0,2756.39
F,False,True,0,Pensionista,Secundário,Viúvo,Casa,60,,1.0,3925.22
M,True,False,0,Pensionista,Secundário,Casado,Casa,64,,2.0,5482.92
M,True,True,1,Assalariado,Secundário,Casado,Casa,45,3.723287671232877,3.0,5020.55
M,False,False,1,Assalariado,Secundário,Casado,Com os pais,25,5.298630136986302,3.0,9356.29
F,True,True,0,Pensionista,Superior completo,Casado,Casa,59,,2.0,3300.36
F,False,False,0,Assalariado,Secundário,Viúvo,Casa,66,11.96986301369863,1.0,4622.94
M,True,True,0,Servidor público,Secundário,Casado,Casa,47,9.58904109589041,2.0,2764.4
F,False,True,0,Assalariado,Superior completo,Casado,Casa,33,10.96986301369863,2.0,2840.7
F,False,True,1,Assalariado,Superior completo,Casado,Casa,58,39.65205479452055,3.0,35881.05
M,True,False,0,Servidor público,Superior completo,Casado,Com os pais,33,6.336986301369863,2.0,3744.32
F,False,False,0,Assalariado,Secundário,Casado,Casa,43,5.6219178082191785,2.0,1772.85
F,False,True,0,Pensionista,Superior completo,Casado,Casa,65,,2.0,3383.91
F,False,True,0,Pensionista,Superior completo,Casado,Casa,58,,2.0,2703.16
M,True,True,2,Assalariado,Superior completo,Casado,Casa,45,2.2164383561643834,4.0,6835.7
M,True,True,0,Assalariado,Secundário,Casado,Casa,45,11.865753424657536,2.0,11478.8
M,True,False,1,Empresário,Superior completo,Solteiro,Estúdio,59,11.6,2.0,4063.18
F,False,False,0,Assalariado,Superior completo,Separado,Casa,38,5.638356164383563,1.0,3098.51
F,False,True,0,Assalariado,Secundário,Casado,Casa,51,0.4301369863013699,2.0,4662.99
M,True,True,0,Pensionista,Superior completo,Casado,Casa,64,,2.0,10708.16
F,False,True,0,Pensionista,Superior completo,Casado,Casa,60,,2.0,2834.9
F,False,False,0,Pensionista,Superior completo,Solteiro,Casa,63,,1.0,3058.99
M,True,False,0,Assalariado,Superior completo,Casado,Casa,26,6.454794520547946,2.0,2347.02
F,False,True,0,Assalariado,Secundário,União,Casa,37,11.58904109589041,2.0,7192.27
F,True,True,0,Assalariado,Superior completo,União,Casa,43,9.512328767123286,2.0,5000.67
F,False,False,0,Pensionista,Secundário,Viúvo,Casa,60,,1.0,2488.54
F,False,True,0,Assalariado,Secundário,Casado,Casa,45,1.6410958904109592,2.0,3453.77
F,False,True,0,Pensionista,Secundário,Separado,Casa,62,,1.0,1912.89
F,False,False,1,Assalariado,Secundário,Viúvo,Casa,54,3.5972602739726027,2.0,1303.38
F,False,False,0,Assalariado,Secundário,Casado,Casa,61,14.97808219178082,2.0,1990.96
M,False,False,1,Assalariado,Superior incompleto,Casado,Casa,30,4.597260273972604,3.0,7483.86
M,False,True,0,Assalariado,Superior completo,Casado,Casa,35,2.512328767123288,2.0,14801.21
M,False,True,2,Assalariado,Secundário,Casado,Casa,48,1.8794520547945208,4.0,7311.61
F,False,True,0,Assalariado,Secundário,Casado,Casa,51,14.643835616438356,2.0,9729.55
F,False,True,2,Assalariado,Superior completo,Casado,Casa,42,1.9616438356164383,4.0,1273.46
M,True,False,2,Assalariado,Secundário,Casado,Casa,26,7.293150684931509,4.0,10508.26
F,False,True,0,Assalariado,Superior completo,Casado,Casa,46,2.8767123287671232,2.0,1370.61
F,True,True,1,Assalariado,Secundário,Casado,Casa,31,4.597260273972604,3.0,1171.7
M,True,False,0,Assalariado,Secundário,Solteiro,Aluguel,25,4.9589041095890405,1.0,9594.28
F,False,True,1,Assalariado,Secundário,Solteiro,Casa,46,22.80821917808219,2.0,23013.28
F,False,True,1,Servidor público,Secundário,Casado,Casa,45,7.786301369863014,3.0,1460.64
F,True,True,1,Assalariado,Superior completo,Casado,Com os pais,29,1.4273972602739726,3.0,4620.26
F,True,False,0,Empresário,Secundário,Casado,Casa,50,1.2082191780821918,2.0,3384.31
F,True,True,1,Servidor público,Superior completo,Casado,Casa,48,22.03835616438356,3.0,11592.93
M,False,False,0,Assalariado,Superior completo,Separado,Com os pais,36,3.1780821917808217,1.0,11806.33
F,False,False,0,Assalariado,Secundário,Casado,Com os pais,44,7.745205479452053,2.0,6286.57
M,True,True,0,Assalariado,Superior completo,Casado,Casa,55,0.9534246575342464,2.0,3630.52
M,False,True,1,Empresário,Superior completo,Separado,Casa,34,1.378082191780822,2.0,9229.76
M,True,True,2,Assalariado,Secundário,Casado,Casa,27,5.04109589041096,4.0,2173.29
F,False,False,0,Pensionista,Secundário,Viúvo,Casa,65,,1.0,2176.28
M,False,True,2,Assalariado,Secundário,Casado,Casa,45,0.9095890410958904,4.0,7978.3
F,False,True,0,Pensionista,Superior completo,Casado,Casa,55,,2.0,3961.34
F,False,True,2,Assalariado,Superior completo,União,Casa,37,10.63835616438356,4.0,13653.74
F,True,True,0,Assalariado,Superior completo,Casado,Casa,48,6.83013698630137,2.0,6681.77
M,True,True,0,Assalariado,Secundário,Casado,Casa,32,8.764383561643836,2.0,11653.72
M,False,False,3,Assalariado,Secundário,União,Com os pais,33,3.895890410958904,5.0,4870.17
M,False,True,0,Empresário,Pós graduação,Casado,Casa,58,5.079452054794522,2.0,7867.46
F,False,True,0,Assalariado,Secundário,Casado,Casa,54,0.6054794520547945,2.0,2901.45
M,True,False,0,Assalariado,Superior completo,Casado,Casa,31,5.413698630136985,2.0,10303.52
F,True,True,1,Assalariado,Secundário,Casado,Casa,31,4.597260273972604,3.0,6599.8
F,True,False,0,Assalariado,Superior completo,Casado,Casa,35,6.2904109589041095,2.0,1434.22
F,False,False,0,Assalariado,Secundário,Solteiro,Casa,46,18.12054794520548,1.0,5595.8
F,False,True,0,Assalariado,Secundário,Casado,Casa,47,10.2986301369863,2.0,10722.19
F,False,False,0,Assalariado,Superior completo,Separado,Casa,47,6.701369863013697,1.0,1297.96
M,True,True,0,Assalariado,Secundário,Casado,Casa,54,17.39178082191781,2.0,16203.16
M,True,True,1,Empresário,Secundário,Separado,Casa,32,1.1753424657534246,2.0,2834.55
F,False,True,2,Assalariado,Secundário,Solteiro,Casa,40,4.098630136986301,3.0,399.08
F,False,True,0,Pensionista,Superior completo,Casado,Casa,65,,2.0,2767.76
F,False,False,0,Pensionista,Secundário,Viúvo,Casa,57,,1.0,1650.05
F,False,False,0,Pensionista,Secundário,Casado,Casa,55,,2.0,5488.63
M,True,False,1,Assalariado,Superior completo,Casado,Casa,26,1.3753424657534246,3.0,6144.37
F,False,True,0,Assalariado,Superior completo,Solteiro,Casa,45,1.0328767123287672,1.0,7116.02
M,False,True,1,Empresário,Superior completo,Casado,Casa,40,0.284931506849315,3.0,3366.03
M,False,True,0,Assalariado,Secundário,União,Casa,33,8.065753424657535,2.0,19878.52
M,False,True,3,Empresário,Superior completo,Casado,Casa,36,5.764383561643837,5.0,24691.33
F,True,False,1,Empresário,Superior completo,Casado,Casa,33,3.4356164383561643,3.0,5810.64
F,False,True,0,Assalariado,Secundário,União,Casa,53,6.6438356164383565,2.0,5935.21
M,True,False,1,Assalariado,Superior completo,Casado,Casa,51,5.2465753424657535,3.0,5722.88
F,False,True,0,Assalariado,Superior completo,Solteiro,Casa,24,3.104109589041096,1.0,3513.68
F,True,True,0,Assalariado,Secundário,Casado,Casa,47,4.895890410958904,2.0,1693.78
M,False,True,2,Assalariado,Superior completo,Casado,Casa,30,11.687671232876712,4.0,19907.02
F,False,False,0,Pensionista,Secundário,Viúvo,Casa,60,,1.0,663.44
F,True,True,0,Assalariado,Secundário,Casado,Casa,33,1.8438356164383565,2.0,4378.92
F,False,False,1,Servidor público,Secundário,Casado,Governamental,45,0.8027397260273973,3.0,3782.13
F,False,True,0,Empresário,Superior completo,Solteiro,Aluguel,42,8.860273972602737,1.0,8966.06
F,True,True,1,Assalariado,Superior completo,Casado,Casa,33,1.9753424657534249,3.0,2705.17
F,False,False,0,Assalariado,Secundário,União,Casa,47,4.156164383561643,2.0,8542.84
F,False,True,1,Empresário,Superior completo,União,Casa,32,8.128767123287671,3.0,1522.45
F,True,True,0,Assalariado,Secundário,Separado,Casa,45,3.271232876712329,1.0,642.67
F,True,False,0,Pensionista,Secundário,Casado,Casa,62,,2.0,1137.43
F,True,False,1,Pensionista,Superior completo,Casado,Casa,54,,3.0,1892.2
F,True,True,0,Assalariado,Superior completo,Casado,Casa,31,3.2109589041095887,2.0,1783.27
F,False,False,1,Assalariado,Superior completo,União,Casa,34,1.356164383561644,3.0,1117.45
F,True,True,1,Empresário,Secundário,Casado,Casa,30,2.345205479452055,3.0,1170.64
F,True,True,1,Assalariado,Superior completo,Separado,Casa,51,16.386301369863013,2.0,5538.88
M,True,True,0,Pensionista,Superior completo,Solteiro,Casa,62,,1.0,11342.01
F,False,False,1,Empresário,Superior completo,Casado,Casa,34,3.602739726027397,3.0,3437.82
F,False,True,1,Empresário,Superior completo,Casado,Casa,43,4.0191780821917815,3.0,10879.69
M,True,False,0,Assalariado,Superior completo,Casado,Casa,41,14.52054794520548,2.0,15655.47
F,False,True,0,Pensionista,Secundário,Casado,Casa,66,,2.0,2246.58
F,False,True,0,Pensionista,Superior completo,Viúvo,Casa,60,,1.0,2229.16
F,True,True,0,Assalariado,Superior completo,Casado,Casa,36,7.92876712328767,2.0,7184.63
F,False,False,0,Assalariado,Secundário,Viúvo,Aluguel,61,2.271232876712329,1.0,1836.0
M,True,True,1,Assalariado,Secundário,Separado,Casa,44,2.416438356164384,2.0,5444.73
F,False,True,0,Empresário,Superior completo,Solteiro,Comunitário,33,6.076712328767122,1.0,4187.86
M,False,True,1,Assalariado,Superior completo,Casado,Com os pais,42,4.531506849315068,3.0,2138.89
F,False,False,0,Assalariado,Superior completo,Casado,Casa,30,4.301369863013698,2.0,1924.19
F,False,True,0,Assalariado,Secundário,União,Casa,53,8.742465753424657,2.0,816.11
M,False,True,1,Empresário,Superior completo,Casado,Casa,29,6.372602739726028,3.0,10888.55
F,True,True,1,Assalariado,Superior completo,Casado,Casa,40,12.073972602739724,3.0,8289.83
F,False,True,0,Pensionista,Secundário,Casado,Casa,57,,2.0,3044.96
F,False,True,1,Assalariado,Secundário,Casado,Casa,39,4.843835616438357,3.0,1288.51
F,False,True,0,Assalariado,Secundário,Casado,Casa,52,4.3863013698630136,2.0,747.4
M,True,False,0,Assalariado,Secundário,Casado,Casa,41,12.197260273972606,2.0,10246.79
F,True,True,0,Empresário,Superior completo,União,Casa,35,4.964383561643834,2.0,4712.85
M,True,True,0,Assalariado,Secundário,Casado,Com os pais,44,8.523287671232877,2.0,4481.39
F,False,True,1,Servidor público,Secundário,Solteiro,Casa,43,10.93972602739726,2.0,1707.05
F,False,True,0,Assalariado,Superior completo,Casado,Casa,43,10.26849315068493,2.0,5254.1
F,False,True,1,Servidor público,Superior completo,Casado,Casa,36,13.136986301369864,3.0,7137.07
F,True,True,2,Empresário,Superior completo,Casado,Casa,32,7.852054794520547,4.0,3563.98
F,True,True,0,Pensionista,Superior completo,Solteiro,Casa,50,,1.0,2319.31
F,False,False,0,Pensionista,Secundário,Viúvo,Casa,60,,1.0,834.74
F,True,True,0,Pensionista,Superior completo,Casado,Casa,62,,2.0,5466.8
F,False,False,1,Empresário,Secundário,Casado,Governamental,49,9.931506849315069,3.0,1184.62
M,False,True,0,Pensionista,Superior completo,União,Casa,45,,2.0,9389.94
F,False,True,0,Assalariado,Superior completo,Separado,Casa,53,6.210958904109589,1.0,2722.92
F,False,False,1,Empresário,Superior incompleto,Casado,Casa,33,6.435616438356163,3.0,6919.41
F,False,True,0,Pensionista,Superior completo,Solteiro,Casa,60,,1.0,3664.79
M,True,True,2,Empresário,Secundário,Casado,Casa,47,25.01643835616439,4.0,48616.89
